%Type ZVL-6 
%Version 3.20 
%Date 23.Nov 19 
%Mode ANALYZER 
%Center Freq 433500000.000000 Hz
%Freq Offset 0.000000 Hz
%Span 17000000.000000 Hz
%x-Axis LIN 
%Start 425000000.000000 Hz
%Stop 442000000.000000 Hz
%Ref Level 20.000000 dBm
%Level Offset 0.000000 dB
%Ref Position 100.000000 %
%y-Axis LOG 
%Level Range 100.000000 dB
%Rf Att 30.000000 dB
%RBW 100000.000000 Hz
%VBW 300000.000000 Hz
%SWT 0.002500 s
%Trace Mode MAXHOLD 
%Detector MAXPEAK 
%Sweep Count 0 
%Trace 1:  
%x-Unit Hz 
%y-Unit dBm 
%Preamplifier OFF 
%Transducer OFF 
%Values 501 
425000000 -46.104072570800781 
425034000 -46.178478240966797 
425068000 -48.869319915771484 
425102000 -49.131221771240234 
425136000 -49.322998046875 
425170000 -47.599140167236328 
425204000 -46.780971527099609 
425238000 -46.714748382568359 
425272000 -47.351654052734375 
425306000 -49.020317077636719 
425340000 -47.321922302246094 
425374000 -45.983501434326172 
425408000 -45.909629821777344 
425442000 -48.167533874511719 
425476000 -47.138584136962891 
425510000 -47.548049926757813 
425544000 -47.515560150146484 
425578000 -47.497867584228516 
425612000 -47.212394714355469 
425646000 -47.124210357666016 
425680000 -46.113300323486328 
425714000 -46.882633209228516 
425748000 -47.81536865234375 
425782000 -47.331058502197266 
425816000 -48.773605346679688 
425850000 -47.144222259521484 
425884000 -46.618137359619141 
425918000 -46.660373687744141 
425952000 -47.515678405761719 
425986000 -47.795833587646484 
426020000 -47.599372863769531 
426054000 -46.684803009033203 
426088000 -47.00567626953125 
426122000 -47.685699462890625 
426156000 -48.096092224121094 
426190000 -47.52447509765625 
426224000 -45.040733337402344 
426258000 -45.043113708496094 
426292000 -47.163192749023438 
426326000 -47.064868927001953 
426360000 -46.651374816894531 
426394000 -45.928256988525391 
426428000 -46.567897796630859 
426462000 -48.307941436767578 
426496000 -48.390163421630859 
426530000 -46.314289093017578 
426564000 -46.013511657714844 
426598000 -46.923530578613281 
426632000 -46.455375671386719 
426666000 -48.201133728027344 
426700000 -47.317668914794922 
426734000 -46.982662200927734 
426768000 -46.875194549560547 
426802000 -47.799709320068359 
426836000 -48.132213592529297 
426870000 -48.068531036376953 
426904000 -46.022106170654297 
426938000 -45.999641418457031 
426972000 -46.344924926757813 
427006000 -48.889225006103516 
427040000 -47.626941680908203 
427074000 -46.341434478759766 
427108000 -46.247051239013672 
427142000 -48.347938537597656 
427176000 -46.84490966796875 
427210000 -46.548000335693359 
427244000 -46.685214996337891 
427278000 -46.236713409423828 
427312000 -45.993869781494141 
427346000 -45.707878112792969 
427380000 -44.635990142822266 
427414000 -44.31549072265625 
427448000 -44.007820129394531 
427482000 -43.960987091064453 
427516000 -44.066448211669922 
427550000 -43.834808349609375 
427584000 -43.40045166015625 
427618000 -43.6326904296875 
427652000 -42.836128234863281 
427686000 -42.630813598632813 
427720000 -43.149177551269531 
427754000 -41.650028228759766 
427788000 -41.669658660888672 
427822000 -41.948825836181641 
427856000 -41.112483978271484 
427890000 -40.859020233154297 
427924000 -40.535900115966797 
427958000 -40.426990509033203 
427992000 -40.6217041015625 
428026000 -39.752414703369141 
428060000 -39.636501312255859 
428094000 -39.135967254638672 
428128000 -38.428966522216797 
428162000 -38.376411437988281 
428196000 -38.139236450195313 
428230000 -37.568489074707031 
428264000 -37.475704193115234 
428298000 -36.715599060058594 
428332000 -35.988368988037109 
428366000 -35.432945251464844 
428400000 -35.055599212646484 
428434000 -34.036403656005859 
428468000 -33.608474731445313 
428502000 -32.949131011962891 
428536000 -32.363754272460937 
428570000 -32.207439422607422 
428604000 -32.346553802490234 
428638000 -31.810232162475586 
428672000 -31.56501579284668 
428706000 -31.389984130859375 
428740000 -30.48516845703125 
428774000 -30.381999969482422 
428808000 -29.982376098632813 
428842000 -29.559255599975586 
428876000 -29.261102676391602 
428910000 -28.88330078125 
428944000 -28.614383697509766 
428978000 -28.245925903320313 
429012000 -27.843694686889648 
429046000 -27.285541534423828 
429080000 -27.086246490478516 
429114000 -26.633930206298828 
429148000 -25.698324203491211 
429182000 -25.417404174804688 
429216000 -24.343132019042969 
429250000 -24.322031021118164 
429284000 -23.880361557006836 
429318000 -23.375123977661133 
429352000 -22.725019454956055 
429386000 -21.916715621948242 
429420000 -21.656400680541992 
429454000 -20.852813720703125 
429488000 -19.76763916015625 
429522000 -19.16288948059082 
429556000 -18.265182495117188 
429590000 -17.134174346923828 
429624000 -16.765785217285156 
429658000 -15.736392974853516 
429692000 -14.159912109375 
429726000 -13.169571876525879 
429760000 -11.538483619689941 
429794000 -9.3766727447509766 
429828000 -5.9709324836730957 
429862000 -3.2506306171417236 
429896000 0.95263659954071045 
429930000 5.1615180969238281 
429964000 7.3288745880126953 
429998000 7.5321445465087891 
430032000 7.5299639701843262 
430066000 7.5361490249633789 
430100000 7.5297918319702148 
430134000 7.5261545181274414 
430168000 7.5310759544372559 
430202000 7.5308995246887207 
430236000 7.5243477821350098 
430270000 7.5223474502563477 
430304000 7.5227169990539551 
430338000 7.5382285118103027 
430372000 7.5480632781982422 
430406000 7.5482521057128906 
430440000 7.5567789077758789 
430474000 7.5715842247009277 
430508000 7.5885796546936035 
430542000 7.6097745895385742 
430576000 7.6211838722229004 
430610000 7.6428499221801758 
430644000 7.6706771850585938 
430678000 7.6996917724609375 
430712000 7.7200722694396973 
430746000 7.7383904457092285 
430780000 7.7572784423828125 
430814000 7.783501148223877 
